time,throughput,speed,latitude,longtitu
2023-04-28 11:13:06 CDT,159.0,12.431700993296,44.8599283,-93.26798
2023-04-28 11:13:07 CDT,152.0,12.431700993296,44.8599283,-93.26798
2023-04-28 11:13:08 CDT,141.0,12.30872432202,44.8600136,-93.2680619
2023-04-28 11:13:09 CDT,157.0,12.30872432202,44.8600136,-93.2680619
2023-04-28 11:13:10 CDT,162.0,12.484291452696,44.8601159,-93.2681039
2023-04-28 11:13:11 CDT,89.4,12.484291452696,44.8601159,-93.2681039
2023-04-28 11:13:12 CDT,60.7,13.315871437062,44.8602292,-93.2680977
2023-04-28 11:13:13 CDT,67.1,13.315871437062,44.8602292,-93.2680977
2023-04-28 11:13:14 CDT,89.6,13.2202594765,44.8603436,-93.2680749
2023-04-28 11:13:15 CDT,67.4,13.2202594765,44.8603436,-93.2680749
2023-04-28 11:13:16 CDT,71.5,10.12617104424,44.8604274,-93.2679804
2023-04-28 11:13:17 CDT,73.5,10.12617104424,44.8604274,-93.2679804
2023-04-28 11:13:18 CDT,57.8,10.505791618022002,44.8604466,-93.2678403
2023-04-28 11:13:19 CDT,44.8,10.505791618022002,44.8604466,-93.2678403
2023-04-28 11:13:20 CDT,73.2,8.815650350092001,44.8604706,-93.2677191
2023-04-28 11:13:21 CDT,74.1,8.815650350092001,44.8604706,-93.2677191
2023-04-28 11:13:22 CDT,36.8,7.595573837718001,44.8605256,-93.267662
2023-04-28 11:13:23 CDT,37.2,7.595573837718001,44.8605256,-93.267662
2023-04-28 11:13:24 CDT,78.2,7.063135813060001,44.8605874,-93.2676511
2023-04-28 11:13:25 CDT,79.4,7.063135813060001,44.8605874,-93.2676511
2023-04-28 11:13:26 CDT,68.3,5.740446165312,44.860642,-93.2676557
2023-04-28 11:13:27 CDT,98.4,5.740446165312,44.860642,-93.2676557
2023-04-28 11:13:28 CDT,94.7,5.594586268918,44.8606867,-93.2676641
2023-04-28 11:13:29 CDT,105.0,5.594586268918,44.8606867,-93.2676641
2023-04-28 11:13:30 CDT,121.0,5.745813479148,44.8607311,-93.2676716
2023-04-28 11:13:31 CDT,124.0,5.745813479148,44.8607311,-93.2676716
2023-04-28 11:13:32 CDT,125.0,5.663209995768,44.8607774,-93.2676751
2023-04-28 11:13:33 CDT,72.9,5.663209995768,44.8607774,-93.2676751
2023-04-28 11:13:34 CDT,84.4,3.5943236923720003,44.8608187,-93.2676785
2023-04-28 11:13:35 CDT,74.6,3.5943236923720003,44.8608187,-93.2676785
2023-04-28 11:13:36 CDT,97.0,1.1249316248840002,44.8608401,-93.2676805
2023-04-28 11:13:37 CDT,95.2,1.1249316248840002,44.8608401,-93.2676805
2023-04-28 11:13:38 CDT,75.7,1.1199732236800002,44.8608423,-93.267681
2023-04-28 11:13:39 CDT,79.5,1.1199732236800002,44.8608423,-93.267681
2023-04-28 11:13:40 CDT,84.0,0.8787605162230001,44.8608424,-93.2676814
2023-04-28 11:13:41 CDT,70.4,0.8787605162230001,44.8608424,-93.2676814
2023-04-28 11:13:42 CDT,103.0,0.4304902447176,44.8608393,-93.2676815
2023-04-28 11:13:43 CDT,108.0,0.4304902447176,44.8608393,-93.2676815
2023-04-28 11:13:44 CDT,111.0,1.0281988902738,44.8608308,-93.267682
2023-04-28 11:13:45 CDT,122.0,1.0281988902738,44.8608308,-93.267682
2023-04-28 11:13:46 CDT,150.0,1.0257714300940002,44.860831,-93.2676822
2023-04-28 11:13:47 CDT,112.0,1.0257714300940002,44.860831,-93.2676822
2023-04-28 11:13:48 CDT,75.3,0.07224360131844,44.8608274,-93.2676822
2023-04-28 11:13:49 CDT,84.9,0.07224360131844,44.8608274,-93.2676822
2023-04-28 11:13:50 CDT,74.8,0.212087524963,44.8608253,-93.2676822
2023-04-28 11:13:51 CDT,85.4,0.212087524963,44.8608253,-93.2676822
2023-04-28 11:13:52 CDT,77.4,0.09094838357612,44.8608249,-93.2676822
2023-04-28 11:13:53 CDT,88.0,0.09094838357612,44.8608249,-93.2676822
2023-04-28 11:13:54 CDT,115.0,0.014594169234204,44.860825,-93.2676822
2023-04-28 11:13:55 CDT,166.0,0.014594169234204,44.860825,-93.2676822
2023-04-28 11:13:56 CDT,80.5,0.002832974228858,44.8608251,-93.2676822
2023-04-28 11:13:57 CDT,119.0,0.002832974228858,44.8608251,-93.2676822
2023-04-28 11:13:58 CDT,89.8,0.0002171061669612,44.8608251,-93.2676822
2023-04-28 11:13:59 CDT,132.0,0.0002171061669612,44.8608251,-93.2676822
2023-04-28 11:14:00 CDT,118.0,0.000381066531798,44.8608251,-93.2676822
2023-04-28 11:14:01 CDT,134.0,0.000381066531798,44.8608251,-93.2676822
2023-04-28 11:14:02 CDT,130.0,0.000617442974975,44.8608251,-93.2676822
2023-04-28 11:14:03 CDT,75.8,0.000617442974975,44.8608251,-93.2676822
2023-04-28 11:14:04 CDT,87.6,0.447232756364,44.860826,-93.2676826
2023-04-28 11:14:05 CDT,83.7,0.447232756364,44.860826,-93.2676826
2023-04-28 11:14:06 CDT,111.0,0.4466468123004,44.8608267,-93.2676832
2023-04-28 11:14:07 CDT,123.0,0.4466468123004,44.8608267,-93.2676832
2023-04-28 11:14:08 CDT,78.1,0.03243417151512,44.8608252,-93.2676842
2023-04-28 11:14:09 CDT,85.8,0.03243417151512,44.8608252,-93.2676842
2023-04-28 11:14:10 CDT,106.0,0.05000242271924,44.8608244,-93.2676845
2023-04-28 11:14:11 CDT,92.7,0.05000242271924,44.8608244,-93.2676845
2023-04-28 11:14:12 CDT,132.0,0.8444488764920001,44.8608302,-93.2676829
2023-04-28 11:14:13 CDT,126.0,0.8444488764920001,44.8608302,-93.2676829
2023-04-28 11:14:14 CDT,74.8,0.8488766084198001,44.8608329,-93.2676831
2023-04-28 11:14:15 CDT,115.0,0.8488766084198001,44.8608329,-93.2676831
2023-04-28 11:14:16 CDT,157.0,1.8226800971464,44.8608374,-93.2676797
2023-04-28 11:14:17 CDT,104.0,1.8226800971464,44.8608374,-93.2676797
2023-04-28 11:14:18 CDT,102.0,1.796097062746,44.8608429,-93.2676725
2023-04-28 11:14:19 CDT,38.1,1.796097062746,44.8608429,-93.2676725
2023-04-28 11:14:20 CDT,122.0,1.0897594790738,44.8608364,-93.2676798
2023-04-28 11:14:21 CDT,150.0,1.0897594790738,44.8608364,-93.2676798
2023-04-28 11:14:22 CDT,129.0,0.3874867956614,44.8608331,-93.2676836
2023-04-28 11:14:23 CDT,137.0,0.3874867956614,44.8608331,-93.2676836
2023-04-28 11:14:24 CDT,49.0,0.158857077029,44.8608306,-93.2676866
2023-04-28 11:14:25 CDT,57.2,0.158857077029,44.8608306,-93.2676866
2023-04-28 11:14:26 CDT,85.0,0.07476450295592,44.8608298,-93.2676876
2023-04-28 11:14:27 CDT,182.0,0.07476450295592,44.8608298,-93.2676876
2023-04-28 11:14:28 CDT,148.0,0.02778950002765,44.8608297,-93.2676877
2023-04-28 11:14:29 CDT,118.0,0.02778950002765,44.8608297,-93.2676877
2023-04-28 11:14:30 CDT,147.0,0.002307600908108,44.8608297,-93.2676877
2023-04-28 11:14:31 CDT,162.0,0.002307600908108,44.8608297,-93.2676877
2023-04-28 11:14:32 CDT,158.0,0.000138602368258,44.8608297,-93.2676877
2023-04-28 11:14:33 CDT,156.0,0.000138602368258,44.8608297,-93.2676877
2023-04-28 11:14:34 CDT,130.0,8.289818680336e-05,44.8608297,-93.2676877
2023-04-28 11:14:35 CDT,146.0,8.289818680336e-05,44.8608297,-93.2676877
2023-04-28 11:14:36 CDT,165.0,2.75661807151e-05,44.8608297,-93.2676877
